audio_url,score1,score2,score3,average
6/O_show_6o8lC0CcRlIclZsbkEOaRL_1PMwEsMB4q5xBtSzXfxB0b_234.5.mp3,2,2,4,2.66666666666666
6/S_show_6SZVsPIxPfVs6aavqM1peY_0pdTJSJDEmmTJmakRzTzFD_160.4.mp3,2,4,4,3.33333333333333
6/S_show_6SZVsPIxPfVs6aavqM1peY_0Q4jTgjfjzGqTBgiq5VhrD_1614.9.mp3,2.5,4,4,3.5
7/7_show_77K4e56ZLtaYI7AwZyam5c_2uKbjK61q1bskLyvdNhZCC_184.5.mp3,5,4,5,4.66666666666666
6/I_show_6I73b0kVHO6bg3FOmFUpdA_7Df1o1OTraEu69ZiD945Nc_1854.8.mp3,2.5,2,4,2.83333333333333
6/L_show_6LfE4N2p3KP7hWjoFpHdDB_4QaKVn7Aefwxb5dnehmaXz_1605.4.mp3,1.5,4,4.5,3.33333333333333
6/J_show_6JVfVaJZ6p6qeFt8gF1I4q_3dWaoVBdRiEeyqBRtnptct_665.7.mp3,3.5,3.5,3.5,3.5
7/G_show_7GHJfnXYD9fMETqrX3AeWu_22uLzrnYAAiZNKHzeVwj6G_272.8.mp3,4,3.5,3.5,3.66666666666666
4/O_show_4o6GpxjdeyG9ZLr6x5TvrC_4fxgSmS3jetQPXqbDU5PCu_198.2.mp3,4,4,1,3
4/1_show_41vsI3f1L1MM3XodDL21iD_4agG49DTBY8N3MXcPtL502_496.6.mp3,0,4,2.5,2.16666666666666
4/2_show_42qUebRQFg3D677PcuehDH_3fbYUQlEWBG6nMKqN3dL4S_6.1.mp3,5,4,2.5,3.83333333333333
4/Q_show_4q9XorSnlPqLGzGJw88hBN_5CGnFh9Z20hEV2qp0BOB7X_1410.2.mp3,4.5,3.5,1,3
4/K_show_4K5nnTrJKHVg3TAaiysY7l_1QOlxjrZsx9jkgYEhbpC0I_633.3.mp3,2.5,3.5,0.5,2.16666666666666
4/Q_show_4q9XorSnlPqLGzGJw88hBN_5CGnFh9Z20hEV2qp0BOB7X_1712.7.mp3,4,3.5,3.5,3.66666666666666
4/0_show_40O5YROr6gB482Wf63HaTt_3EPqK7U69Ap7zDXEPl9lVr_608.8.mp3,1.5,4,1,2.16666666666666
5/P_show_5pF8LmnlEWBZyelh3TWQ09_79WrwsGngmjXjS1ZK1GQKR_1627.5.mp3,3.5,1,2.5,2.33333333333333
5/C_show_5CnDmMUG0S5bSSw612fs8C_6WAqeZjQLovTnd2UqcVxf0_366.1.mp3,4,4,3.5,3.83333333333333
7/8_show_78I6vMSza9RM67Ct7yzmaT_76riT9jr0lt1fBl4wpHwYN_666.3.mp3,3.5,3.5,3.5,3.5
5/A_show_5aWTKGiBnayQH2TQgkAnSg_5oFcFIeeYHCOhZL6J3mBiZ_3418.8.mp3,3.5,1.5,3.5,2.83333333333333
5/6_show_56CjYLQWyMx1MkOEQmlubi_2CrTwBMHE9UB3o9D8mxJr3_1133.5.mp3,4,1.5,5,3.5
5/A_show_5aWTKGiBnayQH2TQgkAnSg_5oFcFIeeYHCOhZL6J3mBiZ_2713.5.mp3,4,4,2.5,3.5
5/W_show_5WXjXJAGlrSFoNVPiS7CMs_70wf1lkNNZ8tA5A6dgjZWj_1140.7.mp3,4,3.5,5,4.16666666666666
5/E_show_5E2C3RL2mfZK2PdCBO9F5I_4W90bAZbxbL2OnWAcmdNnv_3979.0.mp3,4,4,4,4
4/S_show_4SSmepMDoAIDPJGsUn8mxe_2N1n6trow6uDXZdb5OEnKx_490.6.mp3,4.5,0,3.5,2.66666666666666
4/N_show_4najHk5PlnWpU9Xe5bekNQ_483ep6HQd5CT4PMcrStjWl_3321.0.mp3,3,2,1.5,2.16666666666666
4/A_show_4ApnX5fc4a14wT5uhMHa76_1tcigLFLalumCxpPnWIdF5_1181.8.mp3,1,3,1.5,1.83333333333333
4/A_show_4ApnX5fc4a14wT5uhMHa76_1tcigLFLalumCxpPnWIdF5_2835.2.mp3,5,4,4,4.33333333333333
4/I_show_4iax1kbINZW0YbQmoNwysd_2wJfsWhQa007Tii0DR7sD0_2228.6.mp3,5,4,5,4.66666666666666
4/V_show_4v5vy3S6YyhkFfPX79nIBp_4G7CHvkAdJi16hVmLAKC2r_2673.2.mp3,1,2,4,2.33333333333333
4/Q_show_4qPnBYJhKgvlIlCWD7A8Lb_0G9PQcxvOsfG94yXlveDS2_1344.7.mp3,3,1.5,4.5,3
7/M_show_7mL33mSXSr7FveWPSxTKHL_0unzoTTVcsjYhZqyN5VbLW_464.6.mp3,1,4.5,4,3.16666666666666
4/N_show_4NNO0yIIxzSsZTXR0XnaP7_1UNu0yOKCZVzZBdFw4chE7_2172.4.mp3,5,5,4.5,4.83333333333333
4/1_show_41088HlA95rdOlpKK17uBZ_0frvW0YAbqHYPIb5zDiohU_594.4.mp3,4,0.5,4,2.83333333333333
6/I_show_6IUuGlrgkNx1yijdVP3FBB_50cF53HCinl0AzZ77epaH0_403.4.mp3,5,4,3.5,4.16666666666666
7/G_show_7gpmPhrFM2SWtJLNNohB8I_2TTcyOrESkQmXo2LHLOsDs_325.6.mp3,4,5,2.5,3.83333333333333
6/S_show_6SZVsPIxPfVs6aavqM1peY_103en6hGH4ZAEoF2pn30lI_1496.0.mp3,5,4.5,3.5,4.33333333333333
6/I_show_6I73b0kVHO6bg3FOmFUpdA_7Df1o1OTraEu69ZiD945Nc_1879.5.mp3,5,4,3,4
3/C_show_3cIh6ejnk3lUUVhqSKzPUS_6NmadjjdgML96ukODQ1QKa_688.7.mp3,2,1.5,2,1.83333333333333
3/E_show_3eA6HqDVdUjHTkl9IuLK1B_55cjM175b1VO8NAXP0PDYt_359.7.mp3,3.5,3.5,4,3.66666666666666
7/3_show_73P1GliXo9T2qj0bO4B243_22wEBHyo2aWdsbvo44hLcE_1015.0.mp3,1.5,4.5,3,3
3/E_show_3eKZGITnT3DtQ2FAcfHoYm_2nxLFHlaM5gClebaq7IPYV_478.1.mp3,4,3.5,1.5,3
3/T_show_3T2BOxCQFVAq2Q5FMIM3v4_5r2YcUDJ6JEDoFiSz2Yzgk_494.0.mp3,3.5,1.5,2,2.33333333333333
3/V_show_3vjbuTzgJFwPgKKTP46XKA_7IRm15bijNlVAci3ztiyNV_485.5.mp3,3,2.5,3,2.83333333333333
3/W_show_3WiXth3YP3vxoAKeubd4sv_5Xr0Ke1lKzPJvJNBMgAfsK_4579.7.mp3,2.5,1,3,2.16666666666666
3/G_show_3gKLjekTajd8uOo3a7Iesr_0lAuavZsiPkFbkx1fW8hzb_1319.1.mp3,3,3.5,4,3.5
3/4_show_347DvEBUZTWBkxN5h6i636_0ijeO50x6Gte3QmoUptCnd_1518.0.mp3,3,1.5,2,2.16666666666666
3/8_show_387i3AZBFr7UWCkTwXb7o5_1SIBg5RUwebktE7J1xDTHS_712.0.mp3,3,3.5,3.5,3.33333333333333
2/Q_show_2qrukKr6EMxUJJLSLNADS0_11z11tL5TYZ6s9IehmVjPO_881.3.mp3,5,2.5,4.5,4
2/P_show_2PJHckuSJzjpscBfdBquXc_504iNySwBVJxhbFeDdH856_1840.6.mp3,4.5,2.5,1,2.66666666666666
2/W_show_2wXJp6I575NASrepx3PtLr_0GFtkG4AnHxY16ZmWX7zqP_1984.4.mp3,4,2.5,2,2.83333333333333
7/F_show_7fVYTXOVWuAnlbicUPBCIX_2RPVQZmFj2sjep7CmYm072_2696.7.mp3,3.5,5,3.5,4
2/W_show_2wJpmySw3FtVe5uvT2kaAR_2D8xIDQAqMXXzI7FZOX9Io_1918.3.mp3,5,2.5,4,3.83333333333333
2/W_show_2wJpmySw3FtVe5uvT2kaAR_431EKsgGBYM49oPfotfqtQ_1052.1.mp3,5,2.5,4,3.83333333333333
2/P_show_2PJHckuSJzjpscBfdBquXc_504iNySwBVJxhbFeDdH856_1647.0.mp3,5,2.5,1.5,3
3/Q_show_3qQPP9axjPfEL2gRv3aV6b_7kt5ykOPkNeLOqcIq49H48_930.7.mp3,5,3.5,2.5,3.66666666666666
3/6_show_36PvyjXJGN7DKcMC3M7SLo_6I2iDpnLguz1k4VNp8kl0K_956.2.mp3,3.5,4,1,2.83333333333333
3/P_show_3PgM9iDSwe28HgocNhRADc_3U5k4Rkys4e1lbELUrFaMj_1507.1.mp3,4,4,3,3.66666666666666
3/O_show_3oB3X28Fc0foTMduZZX3Nl_058O6ZPJidHDQP7xg6jFLx_829.9.mp3,3.5,4,4,3.83333333333333
3/N_show_3NA20RWdSNIWlQ3j3j40Gv_5eCe2essqMWyxKQU13Ps5I_2895.6.mp3,3.5,4,1.5,3
3/W_show_3WiXth3YP3vxoAKeubd4sv_3dkDXLo4xBl00puHZbgXDO_2274.6.mp3,3.5,3.5,4,3.66666666666666
0/5_show_05QUsdVlicccOQmC9Y4tO4_1Sh27TYWpf5p3rf4BIW1UN_1915.4.mp3,3,4.5,5,4.16666666666666
7/I_show_7ifNWMdzhffP79xfTf1VfG_5ODy2OOOZVeyH401X6VSWJ_1774.0.mp3,4.5,4.5,3.5,4.16666666666666
7/I_show_7ifNWMdzhffP79xfTf1VfG_5ODy2OOOZVeyH401X6VSWJ_856.1.mp3,2.5,4,0,2.16666666666666
0/W_show_0WI3WZvD4AW6YqHrDATUMK_1UnRYQmJlS3yi8Tu5wthND_1216.3.mp3,2,4,5,3.66666666666666
0/H_show_0h4iELZhWMcF2TJJRd2QIs_5E7gVwAbSFgRUz2r5TjmhM_736.5.mp3,1.5,4,5,3.5
0/O_show_0OlX9GFaNANO9Y3Xe6ExO3_6BWLq8gXtQV42Sc5JhQ0fM_377.5.mp3,2,4,5,3.66666666666666
0/1_show_01HL6rCsPf6iLI4cCLdrUQ_14UORPn61Y1YSQaDkCRyxP_1625.3.mp3,4,3.5,5,4.16666666666666
0/L_show_0L0j6X6cf3DO1Bs0D0K4Ch_020HHlbc0Fo4ICM14o1Lev_160.0.mp3,1.5,3.5,5,3.33333333333333
5/6_show_56CjYLQWyMx1MkOEQmlubi_6WNibAiMpFs1gJzGi9V4tE_714.7.mp3,3.5,2.5,2.5,2.83333333333333
7/R_show_7rCzkDQTqmJmY8a4sgVh5c_4sI6LqgHKA06aU2hxQxgWu_899.7.mp3,4,3.5,4.5,4
5/P_show_5pIQxuHKgDEssUg9Ec1BC8_3L8JEgcSRiKA2wQNDXX6id_1728.4.mp3,2.5,3.5,2.5,2.83333333333333
5/C_show_5CnDmMUG0S5bSSw612fs8C_3fxFPVGSzFLKf5iyg5rWCa_565.6.mp3,2.5,5,2.5,3.33333333333333
5/C_show_5CnDmMUG0S5bSSw612fs8C_3lfdq799PvP7K97wFNBxGA_1840.5.mp3,2.5,2,2.5,2.33333333333333
7/B_show_7BSeYJ2I1svC9Pt2EP9aIh_64i7RYc4Rr6hKkEEiA30Ql_3899.2.mp3,3.5,2.5,2,2.66666666666666
5/C_show_5CnDmMUG0S5bSSw612fs8C_5B30iV65NMoxdxMp0Go1Pq_2386.3.mp3,3.5,5,3.5,4
6/P_show_6P1lNBJbtXVkT8J4m9kAD0_4e8CmO9FV9ORdvKxbo5Mw1_1400.5.mp3,1.5,3,1.5,2
6/S_show_6SZVsPIxPfVs6aavqM1peY_23IJOCsDaVLdOqe1t2w7w2_3006.9.mp3,1.5,4.5,3.5,3.16666666666666
6/R_show_6rxMjEEvCgDRLrDLqesqBw_32s1gmOtfob2ryxhmGpJ8E_426.5.mp3,1,2,2.5,1.83333333333333
6/F_show_6fPsNbi8m8mCIyGZH1YGm1_3Wf0cwdtUdb08XIACroyAE_3209.8.mp3,3.5,4.5,3,3.66666666666666
6/9_show_690f5RXOWmKdXf59fhMe3W_2NLDQX0SzR306TFukOyUa0_1642.9.mp3,1.5,4,4.5,3.33333333333333
6/S_show_6SZVsPIxPfVs6aavqM1peY_4S9SzQYYkGlETDHPgFHvkx_2717.4.mp3,3,4,3.5,3.5
2/I_show_2i4kaXGB4B1S24DhhdPrw7_4xObkcDVhQRS3lJfYc5HSY_1976.5.mp3,4.5,4.5,3,4
2/5_show_25cvmj0wGytCOX57pgPI2G_0mi9m3UAFFMG838sqjxdDJ_1398.4.mp3,4.5,2.5,1.5,2.83333333333333
2/V_show_2VRQzKYhCE6rPyFTuMmkrr_38te8qXWTV8QAGjPKsYK3f_2829.8.mp3,3.5,3.5,0.5,2.5
2/C_show_2CLetGT20MFsHqfeBN3fYl_5GEdjhO4AdoKA6sa7TBZf0_1909.7.mp3,5,4,3.5,4.16666666666666
2/Q_show_2qrukKr6EMxUJJLSLNADS0_11z11tL5TYZ6s9IehmVjPO_3985.4.mp3,4,4,4,4
2/O_show_2ObMaZy4PGpDLb6xgaoyPf_2Vv1pOviK0r6Tx3Pj4k9i6_3559.7.mp3,5,4.5,1.5,3.66666666666666
2/0_show_20kjfAgekeFxkiQ2rvQHYM_6jmOjK9ljxHIf6qM7iD6sj_2544.9.mp3,4.5,3.5,2.5,3.5
2/V_show_2VRQzKYhCE6rPyFTuMmkrr_38te8qXWTV8QAGjPKsYK3f_1504.1.mp3,1.5,4.5,0.5,2.16666666666666
2/W_show_2wXJp6I575NASrepx3PtLr_0GFtkG4AnHxY16ZmWX7zqP_539.3.mp3,4,4,3.5,3.83333333333333
2/6_show_26b7O5DMoGWkrNKQu7qiaP_3URHXjdECMagCtYutWDgxR_833.8.mp3,2.5,4,1.5,2.66666666666666
0/L_show_0L04op9D76TOfmzm7yOf9T_0hQDVKQKExV1q9MImMOFeM_147.8.mp3,4,4,4,4
0/F_show_0FUqB3Ggx2zjJCZ3BcNViz_1EE8Z6zydfKiHOUTFQgwvv_3009.2.mp3,3.5,4,3.5,3.66666666666666
0/5_show_058nTf22elnQgslKIMseIs_4AEuMtJ8jmTcItQMKFkQdg_1006.8.mp3,3.5,4,3.5,3.66666666666666
0/N_show_0nRsOIX29uQYXC6nVWXGuT_27B3VqveF3FTMVxzzKXc4F_462.3.mp3,3.5,4,4,3.83333333333333
0/V_show_0Vd8E5vWnCfB4xucu87WNZ_1uBkATVDs9qWZ1zthua5Nb_2676.9.mp3,3.5,4,3.5,3.66666666666666
0/6_show_06DN2th96dYmRtHEQFNKTo_0LCTVexc6GNRwt6BOQGzof_1636.1.mp3,3.5,4,3.5,3.66666666666666
7/I_show_7ir0C27xfLVlnqiQ0a8OWI_6FEHm95HUpYd2XA4VzMkcO_1156.2.mp3,4,2,2,2.66666666666666
0/M_show_0M6jfmNPPAlqNtOkYZFyPt_5OKAPBUV4tJRxytQf8rMom_3922.6.mp3,3.5,4,3.5,3.66666666666666
0/K_show_0KpRrAGb5jh7yoSlxHcRKh_7GGFqmLM3fHdxpuInAcLbA_694.0.mp3,3.5,4,3.5,3.66666666666666
0/O_show_0Od5KsH8uXsR2I1f6eSYAG_20yWcIZ6nDzboN5Tzv9dqt_3195.3.mp3,2.5,4.5,1.5,2.83333333333333
0/N_show_0nRsOIX29uQYXC6nVWXGuT_27B3VqveF3FTMVxzzKXc4F_147.1.mp3,2.5,5,2.5,3.33333333333333
0/V_show_0Vd8E5vWnCfB4xucu87WNZ_1uBkATVDs9qWZ1zthua5Nb_4334.8.mp3,2.5,2.5,1,2
0/V_show_0Vd8E5vWnCfB4xucu87WNZ_1uBkATVDs9qWZ1zthua5Nb_963.4.mp3,3.5,2.5,2,2.66666666666666
0/J_show_0J5Ln40dpLq5MRiU7yO5JP_2fwStQ1G8UjRe2p9AN2CGP_323.0.mp3,3.5,4.5,1.5,3.16666666666666
0/I_show_0I22C9iyvVT3M6DEILuD9F_3Uq8hUEAm5KV70uTyTBWLA_1261.4.mp3,4,5,3,4
0/5_show_05QUsdVlicccOQmC9Y4tO4_4rzSQdfS26O7l5aIeE3PBH_844.2.mp3,2.5,4.5,3.5,3.5
0/T_show_0TkS08s5KaxQX5pyjtrK8T_4LdNdgzQwK7stuTpcS6k4W_518.3.mp3,3,4.5,1.5,3
0/M_show_0M6jfmNPPAlqNtOkYZFyPt_5OKAPBUV4tJRxytQf8rMom_1915.5.mp3,2.5,2.5,3.5,2.83333333333333
0/V_show_0Vd8E5vWnCfB4xucu87WNZ_25UKqAx1kVTgDyodz1p5I6_3898.3.mp3,2.5,4.5,1.5,2.83333333333333
6/S_show_6SZVsPIxPfVs6aavqM1peY_3XIwqhJJRYV0uURae3JH91_805.8.mp3,2,4,3.5,3.16666666666666
6/F_show_6fPsNbi8m8mCIyGZH1YGm1_6dCvGpZj87FAL5ccmHInIY_2448.4.mp3,2,2.5,3.5,2.66666666666666
6/F_show_6fPsNbi8m8mCIyGZH1YGm1_3Wf0cwdtUdb08XIACroyAE_583.5.mp3,3,4,3.5,3.5
6/O_show_6o8lC0CcRlIclZsbkEOaRL_1ZMvmqhUN1gwjK2gaVPNhv_207.1.mp3,3.5,4,3.5,3.66666666666666
6/O_show_6OICDB5uwH8jDhdQHjCUw8_2Pz3cF814ppQdwWkMwycgr_22.0.mp3,3,4,3.5,3.5
6/9_show_697yqntx4P1pqeVsK3qm2K_7DOfhtOOV01euzNS6Jk9P0_2449.0.mp3,2.5,5,3.5,3.66666666666666
6/U_show_6UtpK2v8AJGmCfLEFlE0Zd_6whMOWVclxYeGirVL3R4gB_350.2.mp3,3,4.5,3,3.5
2/V_show_2Vh5jVI1EdMDeHs3N8XoME_28Teud31e8EJ3CvH0xaDCJ_1061.9.mp3,3,3.5,1.5,2.66666666666666
2/I_show_2ioH823V0IIgqjFSx6vZRy_227nzIO2gYNCISvi0ohpjk_685.1.mp3,3.5,5,4,4.16666666666666
2/V_show_2Vh5jVI1EdMDeHs3N8XoME_28Teud31e8EJ3CvH0xaDCJ_3654.7.mp3,2.5,4,1.5,2.66666666666666
2/P_show_2prP9DUj3ngX16vbmHedfU_1aaiZgBoi5qaOMr3ZrwOep_2126.6.mp3,2.5,4.5,3.5,3.5
2/G_show_2gfE7zxYA4hz8Dkm2RUtgm_0BtBVfHvVNzMtj5jqnyBqa_647.1.mp3,2.5,4.5,5,4
2/F_show_2FG5x4nSno55Ta1C2pOc9Z_2JlSBtLEDTYnNmBQ9vmsSc_1309.5.mp3,2.5,3.5,1,2.33333333333333
2/M_show_2Mkrfx6HroyJiFjCnSRkOF_4bgSanb2Eo7fgjrKIDirLv_485.0.mp3,3,4,3.5,3.5
2/W_show_2wJpmySw3FtVe5uvT2kaAR_5JyjnMobKamZhiahk7JmZb_751.5.mp3,3.5,5,4,4.16666666666666
2/W_show_2wJpmySw3FtVe5uvT2kaAR_5JyjnMobKamZhiahk7JmZb_359.8.mp3,3,3.5,5,3.83333333333333
1/1_show_11YLDayMBnXlQfTT6wTsny_3ib0AhRmJv8borLpDFa34L_1410.4.mp3,2.5,2.5,2,2.33333333333333
7/0_show_70jpxInou1Hjf74nPNISVz_5XuEFCEvgAkmQ5bLdD42D3_900.2.mp3,3.5,3.5,4,3.66666666666666
1/8_show_18BwQFE9t9oKG6NhAWIOkU_7tkLgHWhTgXCkJxffiyYe2_1609.9.mp3,2.5,2.5,1.5,2.16666666666666
1/U_show_1U7ZaHAiJDCa01LB1UMA3B_2kwCz3SHRpmF7t4JJJytwQ_3206.5.mp3,2.5,2.5,3,2.66666666666666
1/E_show_1eFmReBvBxxbjtU6UKMlvt_0WR29lgZYnwJ6jZ0pN7Tzg_756.9.mp3,2.5,2.5,2.5,2.5
1/N_show_1NXUZYiTH4T38CBDv31uhL_3EZNH3p3jfX2eIFCWMpVkM_397.5.mp3,2.5,2.5,1,2
7/F_show_7fVYTXOVWuAnlbicUPBCIX_2RPVQZmFj2sjep7CmYm072_2700.1.mp3,1.5,3,2,2.16666666666666
1/E_show_1eFmReBvBxxbjtU6UKMlvt_2QSByvGPDIeRhbK8Hf8XAA_1173.2.mp3,4.5,2.5,4,3.66666666666666
1/8_show_18BwQFE9t9oKG6NhAWIOkU_32Ehs237llZRyGItZHnfhe_1401.2.mp3,4,2.5,3,3.16666666666666
1/L_show_1l3aIVJ1FVrHSixsgrJ1f4_2rohqqmAlW6cr62CBiV7Fw_365.4.mp3,3,2.5,1,2.16666666666666
1/J_show_1jFYnTSP29jx6mzWvysW3Q_4OM9A3pnFdtUaHpAM6zZeB_675.7.mp3,3.5,2.5,0,2
1/1_show_11YLDayMBnXlQfTT6wTsny_3ib0AhRmJv8borLpDFa34L_611.4.mp3,3.5,3.5,0.5,2.5
1/1_show_11YLDayMBnXlQfTT6wTsny_3ib0AhRmJv8borLpDFa34L_1449.4.mp3,4,4.5,1,3.16666666666666
1/Q_show_1q3n4RxgH2XJHOkt3KS0Mu_1eK9tGXqMEkmH8ls5Y8BEr_2199.3.mp3,3.5,0.5,3.5,2.5
1/D_show_1DpjNPz2R1uJoBABi8TAMm_7aR2AQAdQm2gmh0PpmEVPi_1688.9.mp3,4,3,3.5,3.5
1/P_show_1ppz6tg2fPuOL2bVJNLk5H_1w5Iu1rqgQcWEsARj12uf3_312.4.mp3,4,3.5,3.5,3.66666666666666
1/6_show_16Awjn2TUjrVLBffHqVtBT_4mvWudKQ4Plr9X3TLkCm4n_1342.9.mp3,4,3,3.5,3.5
1/D_show_1dPCNeCizIMsNrPj0mOUlb_5hGiJh2I0UGdHlYx0iuWMU_724.2.mp3,3.5,1.5,4,3
1/6_show_16Awjn2TUjrVLBffHqVtBT_4mvWudKQ4Plr9X3TLkCm4n_3915.5.mp3,4,0.5,3.5,2.66666666666666
1/9_show_19dN5iZOFse5kqE6NRKCUr_15fXZcUfd0Iq34rMNggnJj_939.7.mp3,4.5,3,4,3.83333333333333
1/J_show_1je6sEPOdtRHbuSz81aIdC_0pWZzMvCdkeFst2d5bw6ms_956.7.mp3,4,2,3.5,3.16666666666666
1/S_show_1Sw6MZtNhnsEDYvrJLMgxK_5BMz5r938XLSSz7FEsTagL_1266.3.mp3,4,2,3.5,3.16666666666666
