start_time,end_time,sentence,filename
200.600s,205.700s,Do you think you realistically gained five pounds in a 12 hour time?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\1x6QQ2pfTD4fFeROB0mjH5.json
346.300s,349.100s,week. Am I going to put a moderate workout?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\1x6QQ2pfTD4fFeROB0mjH5.json
273.800s,274.700s,"I was like, you know what?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\21igMI6CIyjpXluMnNv7nd.json
553.100s,555.600s,What is it?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\21igMI6CIyjpXluMnNv7nd.json
902.100s,908s,I know that that's been a big question and people are curious about is how was your wait Ben?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\21igMI6CIyjpXluMnNv7nd.json
907.800s,909.100s,Have you lost weight?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\21igMI6CIyjpXluMnNv7nd.json
366.100s,367.800s,Was that comfortable for me?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\2lrq6tpVq2UKOcx8JXs9fZ.json
7.700s,22.100s,"I just know that I've had so many people ask me to make a podcast and you know, I feel like I've talked about everything there is to talk about health-related for the past 10 years, right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\39uorStYgZjR33RfofS26Z.json
23.200s,30.800s,I feel like I've said the same thing over and over again and I'm like how many more ways can I say how many more times?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\39uorStYgZjR33RfofS26Z.json
30.500s,32.900s,Can I say the same thing over and over again?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\39uorStYgZjR33RfofS26Z.json
294.300s,295.700s,Are they amazing?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\39uorStYgZjR33RfofS26Z.json
295.100s,296.800s,Are they super healthy?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\39uorStYgZjR33RfofS26Z.json
403.100s,406.700s,Why do I have to do this?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\39uorStYgZjR33RfofS26Z.json
204s,213.900s,"I started my health journey, I would just keep keep going and keep going and keep eating keep eating why now have this internal barometer?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\5jS3DW2ob3egeFUGk4zk9v.json
269.500s,272.100s,"It's like those two correlated, right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\5jS3DW2ob3egeFUGk4zk9v.json
285s,288.400s,"Well after my run, okay, why wanted to eat healthy now?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\5jS3DW2ob3egeFUGk4zk9v.json
375.900s,378.800s,So did I say that right?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\65zA07s4VHwMUdTKJX5lJc.json
0.000s,9.400s,you feel?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
140.800s,146.300s,Nobody did did anything to make me gain weight?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
394.900s,403.200s,How many times have you gone to the gym or you thought about how you have to go to the gym after work and you are dreading it?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
418.100s,422.300s,Why don't you say I get to go to the gym today?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
421.800s,425.300s,Why don't you challenge yourself?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
424.800s,428.900s,Why don't you try and lift a little bit more than you did yesterday?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
495.800s,500.200s,"This isn't fair, but What you did this to you?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
530.100s,545.400s,The reason that I wasn't successful in my weight loss attempts prior to actually losing the weight was because I still dreaded it because I still looked at every choice as why do I have to do this?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
545s,546.700s,This isn't fair?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\6sW6G0qR26NzkqTPHRCkyn.json
170.400s,172.200s,You hear it?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
194.700s,198.300s,But what does that mean?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
201s,204.100s,Is that on an annual scale?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
203.400s,206.400s,Is this over your lifetime?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
261.800s,286.800s,"It's actually almost the end of January, but when I set intentions and goals for the year, I We mean them and to me it's not super time-based but more about the emotion and the drive that I have behind it and it's like okay if I have this go like why do I want to do it?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
286.300s,291s,What's stopping me from doing it all the times?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
484.200s,489s,Would another people be able to do the same thing?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
642.200s,665.400s,"Like I totally am down for this idea and that plan and they really almost want to believe themselves when they say they're going to do it and then they don't so I think with every decision it's really good and great to get excited about certain things, but To also them take a pause and be like do I have time for this?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
664.700s,669.200s,Do I have space for this in my life right now?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
757.200s,762.300s,Maybe they all are but which one do you feel called to most?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
761.600s,765.300s,Which one can you do in the near future?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
860.200s,861.900s,Right?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
1060.400s,1081.300s,"And it all started when I just was like listening to podcasts after podcast and music and motivational things and I just kept feeling like they were speaking to me when it was like when you fail, are you really failing or do you just need to try again?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
1080.700s,1095s,And I felt like I kept hearing that and it kept resonating with me and I just kept envisioning myself on stage and I was like why have I Why did I just give up after trying it one time?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
1094.400s,1095.900s,Right?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
1173s,1179.600s,You know metal to the ground or what's the saying pedal to the ground?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
1922.200s,1929.700s,It's not just like you visualize let go and it happens like You still have to make moves to your goals?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
1929.300s,1930.400s,Right?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
1936.900s,1959.500s,"I'm assuming that most of the people listening to that that would also work for them or help them with that process is really believing in your own body your own vessel your own, you know outside vessel because like, who are we kidding like you date someone because you think they're attractive and hot And then they also have all these other great qualities, right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
1978.100s,1979.600s,Right?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052zSMPkqa3VK8yJxPlPRK\6VVndDOgKJOH6z9bZK5sc1.json
25.400s,38.200s,Did I get everybody and welcome back to the building Empires podcast?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
71.100s,72.300s,What's yours?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
87.800s,92.200s,Let's get to know you so introduces our 50 Name age and - where you from?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
91.800s,105.100s,"Hey, yeah, my name is Junior pepper tour owner phone managing director of JP still fix one of the big islands in the Cook Islands Mongolia are sorry was that nice and proud?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
104.700s,106.400s,Friendly that Umbra?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
105.900s,107.400s,Where's Maya?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
130.800s,135.900s,Joanna. So what is JP still fix?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
135.400s,138.400s,"Oh, well, what is it?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
142.400s,146.100s,"Yeah, you know and Where we at now?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
155.100s,156.700s,Journey. So how did you get started?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
171.300s,182s,"It's been a bit tough, but I guess where I am now, it's the journey it's been like I was called to have a purpose, right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
255.700s,263.800s,"Yeah, like coming like if you know the me, so like was it hard for you to land jobs like the people take this seriously or like stuff like that?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
265.900s,267.600s,Well my personality right?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
273.900s,282.900s,"And that was that the things that I had that I gave me the advantage to actually just go and hustle, you know what I mean?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
311.700s,314.700s,So how many siblings do you have man?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
329.800s,331.800s,How's that growing up in the house man?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
386.700s,389.600s,But like how many people do you have working for your company?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
514.600s,518.200s,"They just want to see the you know, what's what's the easiest part?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
547.800s,548.900s,And how did you learn that?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
548.800s,553.100s,Did you have mentors or did you have to just pick it up on the spot like through experience?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
564.800s,565.800s,You know what I mean?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
638.300s,642.600s,"They're long gone now and it's like, you know dealing with that what do I do?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
708.400s,713s,"But yeah, so why do you think that we have to turn to alcohol? Do",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
832.500s,834.300s,"So, how do you deal with that?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
976.300s,977s,Right?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1058.300s,1060.300s,So what's your future projects?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1059.900s,1061.700s,Like what's going on with JP?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1061.500s,1062.500s,Still fix at the moment?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1062.300s,1063.800s,Where do you see it going in the future?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1063.300s,1065.800s,future? What's next keep it rolling bro?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1097.800s,1110.100s,"It just bite like the by Tears was apparently, it's your Muhammad Ali he was he was a Muslim man, but for me, it's not about you know, whatever phase out how the person is on and off, you know what I mean?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1160.700s,1163.600s,"You know, how you like your coffee?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1164.500s,1165.800s,Black black?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1175.600s,1178.600s,"Yeah, so after you have breakfast and what do you do?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1226.300s,1227.200s,What are you eating?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1238.800s,1242.600s,My wife is telling me to cut it out because what do you get?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1242.300s,1245.700s,What do you order an apple?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1248.500s,1249.300s,Okay?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1307.500s,1310s,What kind of issues do they go through? All,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1333.400s,1334s,You know what I mean?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1333.900s,1335.200s,I know how is your business going on?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1391.700s,1393.500s,What do you have dinner?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1393.500s,1394.400s,What do you have for them?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1452.500s,1457s,So I'm like what meant like a what made you get into like getting into counseling?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1533.500s,1537.500s,So just to her like a how do those thoughts come about what was going on?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1603.600s,1619.700s,"I'm just someone that knows and understands that's actually been through it and knows the reality of coming off certain drugs or you know alcohol is alcohol IMS alcohol alcoholics, like alcoholism is huge here, you know, I mean, it's just it's every corner, you know what I mean?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1719.800s,1723.800s,And how do I talk to him had a what do I say to them?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1723.600s,1724.400s,Firstly man?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1876.200s,1880.900s,"So I guess you know, like it's going to be right for us, you know what I mean?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1892.500s,1894.800s,What's our move along quickly?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1902.900s,1910.700s,There was a to Queensland and New South Wales person want to say like this on a night if you 150 ml would you do with it?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
1996.100s,2009s,"You gotta watch your brother and this guy he retired from work with Microsoft all he made redundant whatever, you know, like 34 6 billion or so and what he did was he got a foundation right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2070.900s,2073.300s,Did we loved it that thought the way you're living there?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2091.800s,2094.500s,"Yeah, who do you think you could change the world of totalitarian?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2094.100s,2108.900s,"Hey, not Brody has many things he's doing right and what it does and with Warren Buffett like he's even Warren Buffett like home he's there and they're like six like partners and everything in man with the money that do you think of what they're doing with their money, right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2241.900s,2244.100s,Did you watch the game on Saturday?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2248.500s,2251.200s,You know how to talk me through what happened?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2266.500s,2271.100s,"So what you know, what do you think the store lines going to be going to be a big game Grand Final rematch?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2394.200s,2397.700s,"No, did you see the last try do did he ran through the line?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2418.300s,2420.700s,"Yeah, what's on there too?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2669.100s,2682.400s,"Like a like it's not on your side but I suppose like snap chatting and all they'll do is listen to other music silence music gets them pumped out all the way bro, brother love hits the he might even though you see the bar the problem was all right, who is this?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2682s,2686.900s,Who is this brother love it?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2695.900s,2697.100s,So how do you reckon week?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
2697s,2698.500s,It will take to the next level?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\0pvJ3MTWRrrBf5YTUJOTCx.json
