start_time,end_time,sent_end_time,sentence,filename,category,inter_freq
4118.800s,4126.800s,4126.800s,"are they saying that my name is take I am backwards and it's my yeah, of course, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
3969.400s,3973.900s,3973.900s,"because your higher self is the director, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
4778.500s,4781.600s,4781.600s,at how can you get attached to a moving lesson?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
2832.100s,2839.100s,2839.100s,that was one of the first instances that proved to me that I could make something I didn't What happened to if I'd fix a tin too hard?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
3308.500s,3324.500s,3324.500s,"on the one hand like his family and everyone else might actually put him up a zero he gets to go to heaven and you know live this pair to cycle life, but we look at it from the opposite perspective, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
694.700s,698.800s,699.400s,"is a inherent relationship between a diameter and its circumference, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
960.300s,963.200s,963.600s,"it just seems like every other woman has been raped, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/2U2E3jbUHR978n4fwAQGi4.json,Religion & Spirituality,0.00138
784.400s,790.400s,790.600s,how much do you need to screen these drivers then how would you how you actually screen someone?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/2U2E3jbUHR978n4fwAQGi4.json,Religion & Spirituality,0.00138
44.500s,63.900s,63.900s,"whether it be sexual assault whether it be abuse whether it even be murder, there are no ways to govern it or Do anything as far as to the person doing the crime because of the whole international waters?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/2U2E3jbUHR978n4fwAQGi4.json,Religion & Spirituality,0.00138
703.100s,711.900s,711.900s,much responsibility do we put on women to protect themselves is that allowed?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/2U2E3jbUHR978n4fwAQGi4.json,Religion & Spirituality,0.00138
527.900s,532.500s,532.500s,"then when we're talking about our safety, how come they can Implement something stronger when you're over seats?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/2U2E3jbUHR978n4fwAQGi4.json,Religion & Spirituality,0.00138
2088.400s,2092s,2092s,those are the island Abigail and my belt?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/2U2E3jbUHR978n4fwAQGi4.json,Religion & Spirituality,0.00138
84.900s,89.100s,89.400s,"get supplies and I never came to Mainland, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/2U2E3jbUHR978n4fwAQGi4.json,Religion & Spirituality,0.00138
217.100s,224s,224.100s,and being a bitch kids children What?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/2U2E3jbUHR978n4fwAQGi4.json,Religion & Spirituality,0.00138
904.400s,917.100s,917.300s,sure that you are aware of your surroundings and how much they influence you and look at are they gonna help me or are they not going to help me so that concludes the next episode?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhFko0ZIHj4i5pZHNOqfy/5j6vOOvbVYjtzsfVyS9GCy.json,Business,0.00034
574.900s,586.600s,586.700s,"people want to have a visual whatever works for you, but you got to measure it and then look at does this align with my vision and then you kind of should try to decide what am I going to do?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhFko0ZIHj4i5pZHNOqfy/5j6vOOvbVYjtzsfVyS9GCy.json,Business,0.00034
2782.700s,2789.600s,2789.600s,"Ronnie Champion, I guess do you feel creatively limited by your a Jeff?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
3581s,3585.900s,3585.900s,also is that the same person is willing to help me like she's always like oh you want me to help with this one? You,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
1064.700s,1071.600s,1072.400s,what if you could pick three countries to visit to shooting we would you would you go?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
1556.600s,1563.400s,1563.400s,"so what I might see me, what was your process then they walk was what did you put in to the people the option?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
2978.700s,2982.500s,2982.500s,do you want done this on YouTube?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
3108.500s,3111.800s,3111.900s,"it's cool though, and how do you deal with peer pressure?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
508.500s,512s,512.800s,did you decide to create a channel and start publishing that he was online?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
2181.400s,2186.900s,2187.300s,do you think yourself reading those kind of books a lot as I actually read?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
3455.700s,3460.200s,3460.300s,do we have to focus on that and not just like the quality of the content?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
1306.900s,1310.900s,1310.900s,you fly into them the bag airport things in the biggest in the world over it?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2L8XOzOTVfXVZ2ElH9xFsA/7Jpm1S40IUBwOSa5oBRpeK.json,Business,0.00208
1924.800s,1930.600s,1930.800s,Apple came out with their own podcasting service led to Twitter?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
247.500s,250.500s,252.300s,mean how many software companies are funded this year three million?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
874s,877.500s,877.600s,really good right now is that rarely comes up?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
297.900s,303.800s,303.900s,remember hiring him out of college he Now is the managing Chief partner at Kleiner Perkins?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
2746.200s,2750.400s,2750.400s,is these are laws of gravity and things like what does it mean to be an innovator?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
1793.500s,1795.700s,1796.400s,the question is always how do we change the culture?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
1551s,1558.400s,1558.400s,it should be that orientation the ABC will you know when we get in specially in some sometimes bubbles?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
1174.700s,1181.100s,1181.100s,"mean it yes, I'm glad we had all these Frameworks and models that have become mature over the last 10 years, but what's next what's in the 20s?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
232.300s,236.900s,236.900s,is sometimes people say why is semantic called that word?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
1818.200s,1821.200s,1821.200s,done about you or for you or with you organizations?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/7/show_27RyOi6OTdWJIryl19s5Z8/641fij1cdEd67FDC3kBghU.json,Business,0.00058
1635.600s,1662.500s,1662.500s,"I transferred in January and guys, I always tell this to girls who like are dating like with the Engagement on the horizon ending pain medication ending, but you were acting so weird and like it's it's so funny because like I was like, what is he like hiding from me?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2vf6l3czFqLfYZY5shdxry/61FnMWP6tbQbp8dhYULK8Z.json,Society & Culture,0.00141
2063.200s,2071.900s,2073.500s,hood politics section in the hood politics section they break down what's going on in Washington?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2vf6l3czFqLfYZY5shdxry/61FnMWP6tbQbp8dhYULK8Z.json,Society & Culture,0.00141
743.600s,752.500s,752.500s,"some of us have been I want to excuse to talk to her sitters for you know, but are we get cheesy rated it?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2vf6l3czFqLfYZY5shdxry/61FnMWP6tbQbp8dhYULK8Z.json,Society & Culture,0.00141
1357.800s,1373.300s,1373.300s,"so I just wanted that my day look unfazed and you kept bringing it up like the entire day we hung out together and it wasn't until like literally like so later that night and you just kept bringing up I said, okay what happened at Panera?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2vf6l3czFqLfYZY5shdxry/61FnMWP6tbQbp8dhYULK8Z.json,Society & Culture,0.00141
711.900s,719.300s,719.500s,"did not know what I was doing either, but I know We just went for it why you asked me to do it?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2vf6l3czFqLfYZY5shdxry/61FnMWP6tbQbp8dhYULK8Z.json,Society & Culture,0.00141
563.800s,589.200s,589.200s,"work over a long period of time with clients is nothing more exciting ouring inspiring than being on the Round in you know in organizations in the real work with the real people in the organization's all that said one of the things that I've always look for is, you know, do I have to is it required that somebody gets a PhD in systems theory in order to work systems?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
1504.100s,1507.800s,1508.100s,"can't command people to be collaborative, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
2522.900s,2542.700s,2543.200s,"I mean I have worked in the military and then they you know, and this learning during battle thing is their ability to negotiate a space in which the hierarchy disappeared because the learning that you had to have was more important than maintaining the hierarchy right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
2914.100s,2917.400s,2917.800s,"to succeed him and it was the wrong choice, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
2062.700s,2065.700s,2065.700s,do we know what it what how do we know?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
133s,138.400s,138.400s,"first of all, can I ask you would you like us to tell the listeners a little bit about yourself?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
2829.800s,2834.800s,2834.800s,just thought they were doing extraordinary stuff but there are people who there are people who are out there really?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
1741.400s,1774.300s,1774.500s,"know many things but one piece is ultraviolet light which a honeybee can see but I can't write but that information is there and it's there all the time and that that you know, this kind of swirling Infinity of information that I choose only a very small amount and that what it is I choose is it's related to the cultural experience of treatise that we have a how our culture sees us, but do I Western culture would see trees in a different way than Asian culture would we know this through?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
1997.900s,2005.800s,2005.900s,mean the source of compassion is this isn't it that actually your experience is different from mine and it's the same right?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
3297.300s,3303.900s,3304.100s,"honestly honestly really love listening to you also just to tell our listeners, how can they contact you?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VRQzKYhCE6rPyFTuMmkrr/38te8qXWTV8QAGjPKsYK3f.json,Business,0.00098
1536.400s,1539.300s,1539.300s,"because you got some guys and take crowd of money, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VlcZYM2tBVFRQEG5rnv0y/6Bmpm5h10e3H0QWkC4qGL7.json,Religion & Spirituality,0.00154
955.100s,962.600s,963.100s,really believe I mean ordinarily is Target McGee who is the starting nickel cornerback?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VlcZYM2tBVFRQEG5rnv0y/6Bmpm5h10e3H0QWkC4qGL7.json,Religion & Spirituality,0.00154
902.100s,912.100s,912.600s,ever saw has a sin nature mother's mayo and all over their babies saying isn't he beautiful isn't she adorable?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2VyRNuw1dr5smYXFUY6ZQa/0SIfxW9I93b5yToKXHNXt4.json,Religion & Spirituality,0.00087
1299.500s,1308.400s,1308.700s,then what do I need to do as opposed to there being intellectual pressure at all times and to your point some kind of editorial voice throughout the whole thing?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
145.500s,149.500s,151.200s,are some of the most common issues that you see in with pictures over the years?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
264.100s,273s,273s,that that's kind of one that you should go through and do a back of the napkin kind of estimate about Can we apply the people to this to this account?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
2296.600s,2305.500s,2305.900s,else can management teams who aren't actually doing the thinking how can they support their teams better through pictures?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
245.300s,249.800s,250.900s,are some of the other red flags for whether you would even want to pitch?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
1720.900s,1725.800s,1726.700s,are the most important things for people to do?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
1019.600s,1045.700s,1046.400s,"all the time and when it comes to to actually presenting it, you know, sometimes say they are kind of sidelined in favor of you know of some exec who has to present something which is either kind of your off Target for what the RFP was asking about or it's so generic and kind of canned that I imagine the clients going to see what why are you telling me this and you know, and are you going to be working on our business?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
1458.400s,1462.800s,1463.300s,it something you think throughout the pitch is a structured meetings?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
1349.200s,1353.400s,1353.400s,as I was like well what kind of people are they?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
1045.700s,1062.800s,1063.400s,"the exec overrule and the exact kind of You know footprint can derail things significantly, okay, and then when it comes to pitch Logistics of putting the team together and getting a timeline in place, what are some of the missteps that happen there?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
223.700s,229.100s,229.500s,qualifying the nature of it is one thing and it's do they really have the money are they serious?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
2909.700s,2915.800s,2916.400s,you most active on the internet mostly on on Twitter at Tim MC done?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6ICVLmEiDQhhzyaE0Rh4he.json,Business,0.00065
805.100s,812.700s,812.700s,"Community you have to be a part of respected and part of the broader the team course, can you talk a little bit more?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6SOSiYaB7m17WHWLSKesAF.json,Business,0.00052
2142.600s,2175.700s,2175.900s,are Iran today for digital agencies exploring strategy recently and I started to write down I like this kind of operating system because often people think about planning and I think about the a brief and that risk there being too much of a sacred nurse around the brief and I do think you've got a zoom back out and actually think about like does this agency actually have a philosophy a creative philosophy a planning philosophy had of those things sit together and then there's a bunch of other things you need to think through before you even get to the small things such as the brief like what's the philosophy of Gray?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6SOSiYaB7m17WHWLSKesAF.json,Business,0.00052
1585.200s,1588.700s,1588.700s,how do I how do I want to help do I want to actually change this?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/6SOSiYaB7m17WHWLSKesAF.json,Business,0.00052
370.600s,374.500s,374.500s,you going to have in the Show links?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
85.700s,88s,88.900s,you have any flight strategies?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
2096.800s,2102.600s,2103.300s,do you what do you want to do not do you want to try to beat that line or what are you asking for?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
976.300s,982s,982s,you mentioned portable being good for New York do people eat burritos on the walk here?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
3664.100s,3670.400s,3670.700s,"second thing was like, how do we hijack people when they're in those other outdoor States?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
3654.700s,3661.400s,3662.400s,how would you do a buy one get one free for this idea?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
2338.100s,2341.600s,2341.700s,"know, what I thought the visual that came to mind mind is have you?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
1185.500s,1189.200s,1190.400s,kind of comes to mind is a couple adjectives Julian?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
3081.900s,3086.200s,3087.200s,you think you elevate it up or have you purposely kept a quite focused?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
1223.900s,1229.800s,1229.800s,the Nuance for that type of humor to know?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
2730.100s,2733s,2734.700s,"that's the door, but is there a better word than Explorer?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
3719.600s,3722.200s,3722.400s,so we're trying to get into that then?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
3291.600s,3307.200s,3307.200s,do we make dust stories fall into that category as well of like making it the destination where people like to walk that way and also as your song Looking to because you asked me about turn earlier as you're talking you would you would throw their tone into all these things?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/V/show_2Vh5jVI1EdMDeHs3N8XoME/28Teud31e8EJ3CvH0xaDCJ.json,Business,0.00089
